artist,title,lyric
  The Unlikely Candidates  ,Your Love Could Start A War,"You know I gotta love you our name is written in the streets you are a force of nature  the fires running through your, feet ohhh your love, your love could start a war your love, is what i am fighting for I would would die for this revelation ohhh your love, your love could start a your love could start a war  the dawn will break before you under your thumb I'm on my knees you play a game of pressure you're getting stronger while i sleep you'll burn up the sky you're a constellation swear i could die in this revelation ohhh your love, your love could start a war your love, is what i am fighting for I would die for this revaltation ohhh your love, your love could start a  your love could start a war you'll burn or cry standing out to fear just take my life, i know the end is here you'll run and dancin, but i just want to fly I hear you singing, tomorrow never dies I would die for this revelation ohhh your love, your love could start a war your love could start a war it's what I am fighting for ohhh your love, your love could start a war your love is what I am fighting for I would die for this revelation ohhh your love, is what I'm fighting for ohhh your love, your love could start a war your love is what i am fighting for i would die for this revelation oh love your love, your could start a war"
  Nirvana  ,Polly,Polly wants a cracker I think I should get off her first I think she wants some water To put out the blow torch Isn't me have a seed Let me clip your dirty wings Let me take a ride cut yourself Want some help please myself Got some rope you have been told Promise you I have been true Let me take a ride cut yourself Want some help please myself Polly wants a cracker Maybe she would like more food She asked me to untie her A chase would be nice for a few Isn't me have a seed Let me clip your dirty wings Let me take a ride cut yourself Want some help please myself Got some rope you have been told Promise you I have been true Let me take a ride cut yourself Want some help please myself Polly said Polly says her back hurts She's just as bored as me She caught me off my guard Amazes me the will of instinct Isn't me have a seed Let me clip your dirty wings Let me take a ride cut yourself Want some help please myself Got some rope you have been told Promise you I have been true Let me take a ride cut yourself Want some help please myself
  신해철  ,매미의 꿈 (Crom`s flat Mix) Part 5 당신을 위로하고 싶은 마음에서 나온 가벼운 성의,마음대로 되는 일은 하나도 없지 세상 돌아가는 꼴은 맘에 안들지 헤이 하지만 달리 내겐 할 일이 없다 그냥 이대로 살다가 죽을까봐 호이 형 형 형 빨리 와서 엄마가 밥 먹으래 지금 밥 밥은 어제도 먹었는데 엄마 지금 대따리 화났어 클났어 인제 형 끝났어 이제 형 지금 가수 한다고 몇달째야 이게 집에서 어 엄마 화났냐 디게 화났다니까 빨리 밥먹어 가서 도망가야겠다 빨리 가 공원에라도 가 있으란 말야 좀 야 삼천원만 꿔줘 형 맨날 나만 보면 돈만 꿔가 진짜 돈 하나도 없는데 이천원 남았단말야 이제 야 쥐구멍에도 볕들날 있고 매미 울 때도 다 철이 있는거야 아 정말 신경질 나 진짜 왜 사람들이 이 음악을 이해를 못하지 이거를 야 죽이지 않냐 마음대로 되는 일은 하나도 없지 세상 돌아가는 꼴은 맘에 안들지 젠장 하지만 명곡이라고 생각하지 않냐 참 정말 과연 뜻대로 될거유
  Oh Wonder  ,All About You,You walk around the town like you born in a golden crown You're speaking with the angels loud but no one understands ya You got the sharpest bite as any killer sharker might And you control the water like the desert doesn't matter You're so full of it And we're so sick of it You're so full of it And we're so sick of it 'Cause it's all about you It's all about you It's all about you It's all about you You say it's not enough you're sipping from a silver cup But is that how she brought you up to blame the hand that feeds ya You counting green at night but blessings you will never find You only seek to undermine you only seek to never die You're so full of it And we're so sick of it You're so full of it And we're so sick of it 'Cause it's all about you It's all about you It's all about you It's all about you And every time you get stars in your eyes And the planets align in the centre Pushing on out 'til the walls are all wide And you're out of your mind in the centre We see your cover we see another Fooling yourself in the mirror Where is your heart Where is the truth When it's all about you It's not about you It's not about you It's not about you You're so full of it And we're so sick of it You so full of it And we so sick of it all 'Cause it's all about you It's all about you It's all about you It's not about you
  The Beatles  ,Taxman (Remastered 2009),1 2 3 4 Hrmm 1 2 1 2 3 4 Let me tell you how it will be There's one for you nineteen for me Cos I'm the taxman yeah I'm the taxman Should five per cent appear too small Be thankful I don't take it all Cos I'm the taxman yeah I'm the taxman If you drive a car I'll tax the street If you try to sit I'll tax your seat If you get too cold I'll tax the heat If you take a walk I'll tax your feet Taxman Cos I'm the taxman yeah I'm the taxman Don't ask me what I want it for Aahh Mr Wilson If you don't want to pay some more Aahh Mr Heath Cos I'm the taxman yeah I'm the taxman Now my advice for those who die Taxman Declare the pennies on your eyes Taxman Cos I'm the taxman yeah I'm the taxman And you're working for no one but me Taxman
  Wallows  ,Remember When,Thought I saw your shadow under the door Just a trick of the light I've seen before I can never tell what's real anymore Anymore anymore I remember when we ran from the pool All the decorations up in your room And I couldn't find the right words to use But I knew that you knew It's seemed so long it's seemed so long The moments that stay they turn out all wrong When I look around you're gone Oh oh oh-oh oh-oh Oh oh oh-oh oh-oh All the places I return to All the faces that remind you I can still see you at the place I know when I close my eyes Do you remember when we felt like the only two alive Don't let me be one of the people that seek a lost romance Would you go and do it all over again given the chance Oh oh oh-oh oh-oh Oh oh oh-oh oh-oh Oh oh oh-oh oh-oh Oh oh oh-oh oh-oh
  Simple Plan  ,I`d Do Anything,Another day is going by I'm thinking about you all the time But you're out there And I'm here waiting And I wrote this letter in my head Cuz so many things were left unsaid But now you're gone And I can't think straight This could be the one last chance To make you understand yeah I'd do anything Just to hold you in my arms To try to make you laugh Somehow I can't put you in the past I'd do anything Just to fall asleep with you Will you remember me Cuz I know I won't forget you Together we broke all the rules Dreaming of droping out of school And leave this place To never come back So now maybe after all these years If you miss me have no fear I'll be here I'll be waiting This could be the one last chance to make you understand And I just can't let you leave me once again yeah I'd do anything Just to hold you in my arms To try to make you laugh Somehow I can't put you in the past I'd do anything Just to fall asleep with you Will you remember me Cuz I know I won't forget you I close my eyes And all I see is you I close my eyes I try to sleep I can't forget you na na na na na na And I'd do anything for you na na na na na na na  I'd do anything Just to hold you in my arms To try to make you laugh Somehow I can't put you in the past I'd do anything Just to fall asleep with you To fall asleep with you With you yeah I'd do anything To fall asleep with you I'd do anything There's nothing I won't I'd do anything To fall asleep with you I'd do anything Cuz I know I won't forget you
  Pop Evil  ,Monster You Made,Take a good look at me now Do you still recognize me Am I so different inside This world is trying to change me And I admit I don`t want to change with it And I admit I can`t go on like this anymore Erase this monster I`ve become Forgive me for all the damage done It`s not over Say it`s not over I`m begging for mercy I`m only the monster you made me I`m better alone now See I`m torn from my mistakes And I stop believing that I could ever make things change How much can I take When I know that it hurts you How long can I wait When I cant go on like this anymore Erase this monster I`ve become Forgive me for all the damage done It`s not over Say it`s not over I`m begging for mercy I`m only the monster you made me Because who I am Isn`t who I used to be And I`m not invincible I`m not indestructible I`m only human Can`t you see The beauty in me Take a good look at me now Can`t you see I`ve changed Erase this monster I`ve become Forgive me for all the damage done It`s not over Say it`s not over I`m begging for mercy I`m only the monster you made me Far away through the pain I hear the angels calling Far away through the pain I see my demons falling Far away through the pain I hear the angels calling Far away through the pain I see my demons falling Erase this Erase this Erase this monster you made me
  이다오  ,커피 한잔 할래요,"언제나 그렇듯 나의 걸음은 하루가 늘 재촉해  비틀거리는 나 술에 취한 거리, 거짓말들  그 언제였던가 밤 하늘 아래 내 앞을 지나던 소녀  머릿결 눈동자 고개 숙인 발걸음  나는 소녀의 그림자 밟고 수줍게 말했지  커피 한잔 할래요, 나와? 나의 어설픈 말  나를 바라보던 그 소녀 아무 말이 없어  시간이 멈춘 듯 그때 기억은 나를 초라하게 해  말없이 날 보던 그 애 두 눈 속에 슬픔을 느껴  으르렁 대는 거리 위에 서서 마주보던 나와 소녀  손을 들어 내게 표현한 그 손짓  나도 아무 말도 못했어 벙어리소년  커피 한 잔 할래요, 나와? 나의 어설픈 말  나를 바라보던 그 소녀 아무 말이 없어  커피 한 잔 할래요, 나와? 나의 어설픈 말  나를 바라보던 그 소녀 아름다운 소녀"
  Jon McLaughlin  ,For You From Me,"Unexpected, understatement of the year and that's for sure, Who'd of thought that I'd be standing at your door, It's just the way you say my name and it throws me, And all the windows of my past are closing, And everything that you see,  Is for you from me, I give it away so easily, Never stopped to look at whats behind, For you from me, And everything we want will be holding us together tonight, tonight  Unexpected, I'm not used to chasing dreams and catching them, All of a sudden I'm the winner in the end, I'm used to every door I open closing, Always making sure I'm not supposing I can't believe I'm really here  For you from me, I give it away so easily, Never stopped to look at whats behind, For you from me, And everything we want will be holding us together tonight  And we will never fall, We'll defy the laws of this world, With new ones of our own, That's the way I feel, Stupid but for real, And all that I am is  For you from me, I give it away so easily, Never stopped to look at whats behind, For you from me, And everything we want will be holding us together tonight  For you from me, I give it away so easily, Never stopped to look at whats behind, For you from me, And everything we want will be holding us together tonight, tonight"
"  Crosby, Stills & Nash  ",Lady Of The Island,"Holding you close undisturbed before a fire The pressure in my chest when you breathe in my ear We both knew this would happen when you first appeared My lady of the island  The brownness of your body in the fireglow Except the places where the sun refused to go Our bodies were a perfect fit in afterglow we lay My lady of the island  Letting myself wander through the world inside your eyes You know I'd like to stay here until every tear runs dry Do, do, do, do, do, do, do ... My lady of the island  Wrapped around each other in the peeping sun Beams of sunshine light the stage the red light's on I never want to finish what I've just begun with you My lady of the island  Do, do, do, do, do, do, do, do..."
  브이  ,여름아 부탁해 (Rock Ver.),여름아 부탁해  우리 함께 나누던 Summer Love 우리 모두 함께한 Summer Time 무더운 여름 부셔부셔 뜨거운 태양 So Hot 부서지는 파도 뜨거운 태양 너 나 우리 Go Go 답답한 도시 벗어나 summer time Let's go  여름아 부탁해 나의 사랑을 이루게 해줘 많이 힘겨웠던 나의 지난 추억 버리게 다시 찾아온 해변에서 비키닐 입은 그녈 만난 후 나의 인생이 달라졌어 한여름의 Sunset 석양빛이 황홀한 도시의 거리 Let me kiss you one more time 뜨거운 태양에 검게 그을린 그녀를 사귀고 싶어 긴 머리에 눈이 부신 그대가 좋아 나에 대해 정말 알고 싶지 않나요 그대를 가질 수 있다면 담배라도 끊겠어요 워 Baby 밤바다에 반짝이는 하늘의 별빛 흔들리는 파도의 노랫소리 그대를 느끼고 싶어 Oh Beautiful Lady 뜨거운 태양 Suncap 한 여름 밤의 Sunset 후회 없이 놀아봐 거침없이 하이 킥 이것 저것 모두 잊어 버리고 제멋 대로 모두 던져 버리고 바다로 가자 Go Go 우리 다함께 Go Go  조금만 더 기다려 이대로 나를 떠나지 마요 아직 사랑하기 전엔 헤어지면 안되요 그대 사는 곳 어디인지 날 어떻게 생각하시는지 화장 안한 그대 얼굴을 만져보고 싶어 새하얀 모래 위에 단둘이 앉아 Your lips your eyes love so much 투명한 그대 눈을 바라봐요 무릎에 머릴 기대고 반짝이는 저 바다의 사랑의 물결 지루하게 기다렸던 Summer Vacation 이대로 포기할 수 없어 나를 떠나가지 마요 워 Baby 한 여름의 Beach Beach Beach Paradise 모래 위에 적어 본 그대 이름 주말에 다시 만나면 함께 있어줘요 긴 머리에 눈이 부신 그대가 좋아 나에 대해 정말 알고 싶지 않나요 그대를 가질 수 있다면 담배라도 끊겠어요 워 Baby 밤바다에 반짝이는 하늘의 별빛 흔들리는 파도의 노랫소리 그대를 느끼고 싶어 Oh Beautiful Lady  부탁해
  New Found Glory  ,Connected,For a while now I've been The quickest one to shed my skin Forcing me to put up walls Climbing taller every cause  Hurry down to me  Soon I'll be back from all this work And I'll make love to you Make love to you We'll reconnect it Soon I'll be back in your arms Be back in your arms Connected  The circle in your eyes tell more More than you have bargained for It takes trying to rip your skin To really know how thick it is Hurry down to me Hurry down to me
  Halsey  ,Young God,"He says, ""Ooh, baby girl, you know we're gonna be legends I'm a king and you're a queen and we will stumble through heaven If there's a light at the end, it's just the sun in your eyes I know you wanna go to heaven, but you're human tonight""  And I've been sitting at the bottom of a swimming pool For a while now, drowning my thoughts out with the sounds  But do you feel like a young god? You know the two of us are just young gods And we'll be flying through the streets with the people underneath And they're running, running, running But do you feel like a young god? You know the two of us are just young gods And we'll be flying through the streets with the people underneath And they're running, running, running again  (And we'll be running, running, running again) (And we'll be running, running, running)  He says, ""Oh, baby girl, don't get cut on my edges I'm the king of everything and oh, my tongue is a weapon There's a light in the crack that's separating your thighs And if you wanna go to heaven you, should fuck me tonight""  And I've been sitting at the bottom of a swimming pool For a while now, drowning my thoughts out with the sounds  But do you feel like a young god? You know the two of us are just young gods And we'll be flying through the streets with the people underneath And they're running, running, running But do you feel like a young god? You know the two of us are just young gods And we'll be flying through the streets with the people underneath And they're running, running, running again  (And we'll be running, running, running again) (And we'll be running, running, running)"
  김지영 (메스그램)  ,Sweetie,그대와 달콤한 사랑을 I Love you 난 항상 그대 I got a crush on you 그대도 나를 봐 Please love me Oh 오늘 밤이 내리면 바로 네게 달려갈게 My Babe 보고 싶어도 널 갖고 싶어도 지금은 너만 생각해 만약에 너를 안을 수 있다면 바로 네게 달려갈게 그대와 달콤한 사랑 Love you 나와의 달콤한 사랑 love me too 우리의 달콤한 사랑 Sweet love Sweetie and me 그대와 달콤한 사랑을 I Love you 난 항상 그대 I got a crush on you 그대도 나를 봐 Please love me Oh 오늘 밤이 내리면 바로 네게 달려갈게 My Babe Come to my bedside my baby Come to my bedside my baby Come to my bedside my baby Come to my bedside my baby 보고 있어도 널 안고 있어도 널 더 사랑하고 싶어 오늘이 지나고 십 년이 지나도 나는 너만 사랑할게 그대와 달콤한 사랑 Love you 나와의 달콤한 사랑 love me too 우리의 달콤한 사랑 Sweet love Sweetie and me 그대와 달콤한 사랑을 I Love you 난 항상 그대 I got a crush on you 그대도 나를 봐 Please love me Oh 오늘 밤이 내리면 바로 네게 달려갈게 My Babe Come to my bedside my baby Come to my bedside my baby Come to my bedside my baby Come to my bedside my baby
  Frightened Rabbit  ,Still Want To Be Here,"The perfect place may never exist, may never exist The perfect time might be years and years away The city is overweight, and it's pressing on the pair of us We scowl and sweat beneath the overbearing crush  [Chorus] But I still want to be here, want to be here I still want to be here, want to be here And I would live in a devil's ditch just to be near you I still want to be here, want to be here  [Verse 2] There is shit all over the street outside our house now Junk fiends dance at the bus stop next to the rodeo clowns Nowhere to run to, so we hide like mislaid infants Fuck these faceless homes and everyone who lives in them  [Chorus] But I still want to be here, want to be here I still want to be here, want to be here And I would live in a shallow pit just to be near you I still want to be here  [Chorus] I still want to be here, want to be here I still want to be here, want to be here And I would live in a shallow pit just to be near you I still want to be here"
